id,confinan_ord,polviews,polviews_bin,degree,age,age_std,sex,income,income_std,region
2664,2,4,Moderate,1,86,2.0928251248171654,1,12,0.3942931976883675,2
2665,3,2,Liberal,1,77,1.5832884975939077,2,12,0.3942931976883675,2
2667,2,4,Moderate,1,73,1.3568277743835706,1,10,-0.4133335130696976,2
2668,3,4,Moderate,3,34,-0.851164276917214,2,12,0.3942931976883675,2
2669,2,5,Conservative,1,71,1.2435974127784022,1,12,0.3942931976883675,2
2674,2,3,Liberal,1,38,-0.624703553706877,1,11,-0.009520157690665056,2
2675,3,5,Conservative,0,82,1.8663644016068286,1,12,0.3942931976883675,2
2676,2,4,Moderate,1,18,-1.7570071697585614,1,2,-3.643840356101958,2
2678,2,6,Conservative,1,56,0.3943697007396389,1,12,0.3942931976883675,2
2679,1,5,Conservative,3,55,0.3377545199370547,2,12,0.3942931976883675,2
2681,2,6,Conservative,2,67,1.0171366895680654,1,12,0.3942931976883675,2
2683,2,4,Moderate,1,26,-1.3040857233378877,1,12,0.3942931976883675,2
2685,1,7,Conservative,0,34,-0.851164276917214,1,2,-3.643840356101958,2
2688,2,6,Conservative,3,62,0.7340607855551442,1,12,0.3942931976883675,2
2691,2,4,Moderate,1,70,1.186982231975818,1,12,0.3942931976883675,2
2692,3,4,Moderate,1,47,-0.11516692648361908,1,12,0.3942931976883675,2
2694,3,6,Conservative,3,64,0.8472911471603127,2,12,0.3942931976883675,2
2695,2,6,Conservative,1,67,1.0171366895680654,2,12,0.3942931976883675,2
2696,3,4,Moderate,1,35,-0.7945490961146298,1,12,0.3942931976883675,2
2697,2,5,Conservative,3,36,-0.7379339153120456,2,12,0.3942931976883675,2
2700,1,3,Liberal,1,65,0.9039063279628969,1,12,0.3942931976883675,2
2702,2,3,Liberal,3,59,0.5642152431473916,1,12,0.3942931976883675,2
2703,2,2,Liberal,1,24,-1.4173160849430562,2,12,0.3942931976883675,2
2704,2,4,Moderate,1,51,0.11129379672671781,2,12,0.3942931976883675,2
2705,2,2,Liberal,1,36,-0.7379339153120456,2,9,-0.8171468684487302,2
2708,2,4,Moderate,1,31,-1.0210098193249666,1,12,0.3942931976883675,2
2710,3,4,Moderate,1,33,-0.9077794577197982,2,12,0.3942931976883675,2
2712,2,4,Moderate,1,53,0.22452415833188627,1,12,0.3942931976883675,2
2713,1,5,Conservative,1,53,0.22452415833188627,2,12,0.3942931976883675,2
2714,2,5,Conservative,1,63,0.7906759663577285,2,12,0.3942931976883675,2
2715,3,5,Conservative,2,38,-0.624703553706877,1,12,0.3942931976883675,2
2717,3,6,Conservative,3,40,-0.5114731921017086,1,12,0.3942931976883675,2
2719,2,4,Moderate,0,67,1.0171366895680654,1,12,0.3942931976883675,2
2721,1,6,Conservative,3,68,1.0737518703706497,2,12,0.3942931976883675,2
2722,2,4,Moderate,4,67,1.0171366895680654,2,12,0.3942931976883675,2
2725,2,2,Liberal,4,57,0.45098488154222316,2,9,-0.8171468684487302,2
2729,1,6,Conservative,3,66,0.9605215087654811,2,12,0.3942931976883675,2
2733,2,4,Moderate,1,42,-0.3982428304965402,1,12,0.3942931976883675,2
2734,1,4,Moderate,4,53,0.22452415833188627,2,12,0.3942931976883675,2
2736,2,2,Liberal,4,58,0.5076000623448074,2,12,0.3942931976883675,2
2738,2,6,Conservative,1,64,0.8472911471603127,1,12,0.3942931976883675,2
2742,1,4,Moderate,1,42,-0.3982428304965402,2,10,-0.4133335130696976,2
2743,2,2,Liberal,4,32,-0.9643946385223824,2,12,0.3942931976883675,2
2747,2,6,Conservative,1,41,-0.4548580112991244,1,12,0.3942931976883675,2
2749,3,5,Conservative,3,33,-0.9077794577197982,1,12,0.3942931976883675,2
2750,3,2,Liberal,3,30,-1.077625000127551,2,12,0.3942931976883675,2
2751,3,5,Conservative,0,69,1.1303670511732338,1,2,-3.643840356101958,2
2752,3,4,Moderate,1,23,-1.4739312657456405,1,8,-1.2209602238277626,2
2753,3,4,Moderate,1,42,-0.3982428304965402,2,12,0.3942931976883675,2
2754,3,4,Moderate,3,52,0.16790897752930203,2,12,0.3942931976883675,2
2756,2,6,Conservative,3,60,0.6208304239499758,1,12,0.3942931976883675,2
2757,3,4,Moderate,1,50,0.05467861592413359,1,12,0.3942931976883675,2
2762,2,5,Conservative,3,26,-1.3040857233378877,2,12,0.3942931976883675,2
2763,1,5,Conservative,1,22,-1.5305464465482246,2,12,0.3942931976883675,2
2764,2,4,Moderate,2,64,0.8472911471603127,1,12,0.3942931976883675,2
2765,2,2,Liberal,1,32,-0.9643946385223824,2,11,-0.009520157690665056,2
2766,3,4,Moderate,3,31,-1.0210098193249666,1,12,0.3942931976883675,2
2769,2,3,Liberal,0,29,-1.134240180930135,2,12,0.3942931976883675,2
2770,2,4,Moderate,1,19,-1.7003919889559773,1,12,0.3942931976883675,2
2771,3,2,Liberal,2,32,-0.9643946385223824,2,12,0.3942931976883675,2
2773,2,4,Moderate,1,54,0.2811393391344705,1,12,0.3942931976883675,2
2776,1,4,Moderate,1,56,0.3943697007396389,1,12,0.3942931976883675,3
2780,2,7,Conservative,0,49,-0.00193656487845063,1,12,0.3942931976883675,3
2783,2,2,Liberal,0,66,0.9605215087654811,2,9,-0.8171468684487302,3
2786,2,6,Conservative,1,70,1.186982231975818,2,12,0.3942931976883675,3
2787,2,4,Moderate,1,59,0.5642152431473916,2,12,0.3942931976883675,3
2791,2,1,Liberal,1,33,-0.9077794577197982,2,11,-0.009520157690665056,3
2792,2,3,Liberal,1,36,-0.7379339153120456,1,12,0.3942931976883675,3
2795,1,4,Moderate,1,25,-1.3607009041404718,2,6,-2.0285869345858276,3
2797,1,4,Moderate,2,33,-0.9077794577197982,2,12,0.3942931976883675,3
2799,2,6,Conservative,3,55,0.3377545199370547,1,12,0.3942931976883675,3
2802,2,3,Liberal,3,26,-1.3040857233378877,2,12,0.3942931976883675,3
2803,1,3,Liberal,1,72,1.3002125935809865,1,12,0.3942931976883675,3
2804,1,4,Moderate,1,57,0.45098488154222316,2,12,0.3942931976883675,3
2806,3,5,Conservative,3,62,0.7340607855551442,1,12,0.3942931976883675,3
2807,2,6,Conservative,3,63,0.7906759663577285,1,12,0.3942931976883675,3
2811,2,7,Conservative,2,54,0.2811393391344705,2,12,0.3942931976883675,3
2813,2,6,Conservative,1,43,-0.341627649693956,2,12,0.3942931976883675,3
2816,2,6,Conservative,2,48,-0.05855174568103485,1,12,0.3942931976883675,3
2818,1,7,Conservative,1,28,-1.1908553617327193,2,12,0.3942931976883675,3
2821,1,6,Conservative,1,66,0.9605215087654811,1,12,0.3942931976883675,3
2822,2,7,Conservative,1,74,1.413442955186155,2,2,-3.643840356101958,3
2823,3,4,Moderate,2,18,-1.7570071697585614,1,11,-0.009520157690665056,3
2824,2,6,Conservative,1,29,-1.134240180930135,2,3,-3.2400270007229253,3
2827,3,4,Moderate,1,44,-0.2850124688913717,1,10,-0.4133335130696976,3
2830,3,7,Conservative,3,36,-0.7379339153120456,2,12,0.3942931976883675,3
2831,2,4,Moderate,3,42,-0.3982428304965402,2,12,0.3942931976883675,3
2832,2,7,Conservative,3,39,-0.5680883729042928,1,2,-3.643840356101958,3
2835,2,4,Moderate,2,45,-0.2283972880887875,2,12,0.3942931976883675,3
2837,3,7,Conservative,2,59,0.5642152431473916,2,9,-0.8171468684487302,3
2839,3,4,Moderate,1,55,0.3377545199370547,2,12,0.3942931976883675,3
2842,2,1,Liberal,1,39,-0.5680883729042928,2,12,0.3942931976883675,3
2843,1,4,Moderate,1,61,0.67744560475256,1,1,-4.04765371148099,3
2844,2,3,Liberal,1,54,0.2811393391344705,2,12,0.3942931976883675,3
2846,1,4,Moderate,1,55,0.3377545199370547,2,2,-3.643840356101958,3
2847,2,4,Moderate,0,39,-0.5680883729042928,2,10,-0.4133335130696976,3
2849,2,3,Liberal,1,25,-1.3607009041404718,1,9,-0.8171468684487302,3
2850,3,5,Conservative,0,60,0.6208304239499758,1,9,-0.8171468684487302,3
2852,2,6,Conservative,1,42,-0.3982428304965402,2,12,0.3942931976883675,4
2854,2,4,Moderate,3,26,-1.3040857233378877,2,12,0.3942931976883675,4
2856,2,4,Moderate,3,67,1.0171366895680654,1,12,0.3942931976883675,4
2857,2,4,Moderate,3,76,1.5266733167913233,2,12,0.3942931976883675,4
2860,2,4,Moderate,1,27,-1.2474705425353034,1,12,0.3942931976883675,4
2861,3,6,Conservative,1,62,0.7340607855551442,1,12,0.3942931976883675,4
2863,3,7,Conservative,2,66,0.9605215087654811,1,12,0.3942931976883675,4
2864,2,6,Conservative,4,53,0.22452415833188627,1,12,0.3942931976883675,4
2866,2,6,Conservative,1,23,-1.4739312657456405,1,12,0.3942931976883675,4
2867,2,6,Conservative,4,56,0.3943697007396389,1,12,0.3942931976883675,4
2868,2,4,Moderate,2,36,-0.7379339153120456,1,12,0.3942931976883675,4
2870,2,6,Conservative,4,51,0.11129379672671781,1,12,0.3942931976883675,4
2874,2,6,Conservative,1,31,-1.0210098193249666,2,12,0.3942931976883675,4
2876,3,5,Conservative,3,76,1.5266733167913233,2,9,-0.8171468684487302,4
2878,2,5,Conservative,1,24,-1.4173160849430562,1,12,0.3942931976883675,4
2879,1,5,Conservative,0,30,-1.077625000127551,2,9,-0.8171468684487302,4
2880,3,7,Conservative,1,31,-1.0210098193249666,1,12,0.3942931976883675,4
2882,3,7,Conservative,1,74,1.413442955186155,1,12,0.3942931976883675,4
2884,3,5,Conservative,0,38,-0.624703553706877,1,12,0.3942931976883675,4
2886,2,4,Moderate,4,48,-0.05855174568103485,2,12,0.3942931976883675,4
2889,2,4,Moderate,0,68,1.0737518703706497,1,9,-0.8171468684487302,4
