parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,khat
log_lik[529],-0.55009930175,NA,0.023074454510224777,-0.6028134249999999,-0.5630777499999999,-0.5473245,-0.53387675,-0.5120572,NA,1.0063898444276038
log_lik[530],-0.543721975,NA,0.022298906838260465,-0.598301225,-0.5545565,-0.540357,-0.5287537499999999,-0.510147375,NA,1.0138254188411138
log_lik[531],-0.5640746205,NA,0.030190288698526944,-0.635352875,-0.5807574999999999,-0.559474,-0.5425125,-0.51719985,NA,1.006482360075403
log_lik[532],-0.543058789,NA,0.017639647462694145,-0.58219515,-0.5535705,-0.5414815,-0.5312105,-0.51195735,NA,1.0148417059993255
log_lik[533],-1.2273056565,NA,0.12145977269537962,-1.47490775,-1.3068575,-1.2246350000000001,-1.1419575000000002,-1.0011240000000001,NA,1.0375606006386497
log_lik[534],-0.57542726575,NA,0.03052281917480301,-0.6440517499999999,-0.593638,-0.5722240000000001,-0.553278,-0.52502145,NA,1.0102058525663864
log_lik[535],-0.5336385725,NA,0.014600850331465095,-0.56397955,-0.5428905,-0.5326555,-0.5238415,-0.5071862500000001,NA,1.0112557715764494
log_lik[536],-1.6263365975,NA,0.12146911747733735,-1.86678975,-1.7090925,-1.623675,-1.5428100000000002,-1.38935525,NA,1.0086759755459127
log_lik[537],-1.716453225,NA,0.14653440490411979,-2.012664,-1.8127399999999998,-1.716675,-1.6168399999999998,-1.4262337499999997,NA,1.0125423599210726
log_lik[538],-0.535576059,NA,0.014631745245826043,-0.5659223000000001,-0.5443845,-0.534904,-0.5255587500000001,-0.508767625,NA,1.0119680664089876
log_lik[539],-1.595595345,NA,0.12170779813106651,-1.8449734999999998,-1.676115,-1.5968399999999998,-1.5100375000000001,-1.364004,NA,1.014503300639618
log_lik[540],-0.5713750895,NA,0.027616279744042512,-0.632162775,-0.58783575,-0.5686705,-0.5517209999999999,-0.52530095,NA,1.008426589476226
log_lik[541],-1.5504988975,NA,0.12305570863420522,-1.7968985000000002,-1.633985,-1.548535,-1.4644149999999998,-1.3212622499999997,NA,1.022865898328119
log_lik[542],-1.36083454525,NA,0.12137994902314471,-1.60684275,-1.440185,-1.3608449999999999,-1.27864,-1.12886975,NA,0.9881610812941873
log_lik[543],-0.623644333,NA,0.04985893295240485,-0.7356170249999999,-0.653506,-0.6185105,-0.58809,-0.54242355,NA,1.010479073325962
log_lik[544],-0.5374703575,NA,0.015041713086441913,-0.5683742250000001,-0.546796,-0.536629,-0.52740775,-0.510085875,NA,1.0123839522786207
log_lik[545],-1.51861145,NA,0.13959899363033787,-1.80124125,-1.611405,-1.516705,-1.4239475000000001,-1.248267,NA,1.029019570253693
log_lik[546],-0.53941236,NA,0.017458970118961897,-0.577822825,-0.5499525000000001,-0.537999,-0.5275569999999999,-0.50872965,NA,1.014030777429136
log_lik[547],-0.5771266685,NA,0.032926953262363855,-0.6540405249999999,-0.5963032500000001,-0.573646,-0.55371975,-0.5231924499999999,NA,1.0108313108967248
log_lik[548],-1.4896863725,NA,0.10664093346876236,-1.69937775,-1.5617575,-1.489185,-1.4176425,-1.281572,NA,0.989529130236016
log_lik[549],-1.5779696725,NA,0.15167783515361394,-1.89176225,-1.6779575,-1.5726399999999998,-1.4789225,-1.28044575,NA,1.0602238237334383
log_lik[550],-1.64945456,NA,0.09507894076266594,-1.83873675,-1.7121075000000001,-1.648355,-1.5840375,-1.4693995,NA,1.0043727331464989
log_lik[551],-1.5422682325,NA,0.11271540386352692,-1.76195725,-1.6150799999999998,-1.542465,-1.46335,-1.3296837499999998,NA,1.0125292847310492
log_lik[552],-0.56803654275,NA,0.02749047603935568,-0.6287555499999999,-0.5837555,-0.565496,-0.5485715,-0.5226068,NA,1.0153457502718435
log_lik[553],-1.3702174175,NA,0.10712415113266772,-1.5848989999999998,-1.443265,-1.368515,-1.2949775,-1.1659692499999998,NA,1.0051511457150948
log_lik[554],-0.560518291,NA,0.024806485837190112,-0.617095375,-0.57482225,-0.5575034999999999,-0.5432920000000001,-0.520748675,NA,1.0136127415015812
log_lik[555],-1.22993373325,NA,0.12597765760739346,-1.48699925,-1.3129475,-1.2258049999999998,-1.145865,-0.989760375,NA,1.0805382562656707
log_lik[556],-0.53476527425,NA,0.01484454349595964,-0.5660618000000001,-0.5438805,-0.5337995,-0.524421,-0.5080176000000001,NA,1.009503790316556
log_lik[557],-0.53878707525,NA,0.017292396731461723,-0.5765438500000001,-0.54910525,-0.5373485,-0.52707,-0.5084538999999999,NA,1.0144456276488698
log_lik[558],-0.55552608675,NA,0.023032471369244495,-0.608957125,-0.5686625,-0.552871,-0.53938175,-0.5176452750000001,NA,1.0140124696933603
log_lik[559],-0.55009930175,NA,0.023074454510224777,-0.6028134249999999,-0.5630777499999999,-0.5473245,-0.53387675,-0.5120572,NA,1.0063898444276038
log_lik[560],-1.07365740775,NA,0.08766533997096888,-1.247067,-1.131645,-1.0724200000000002,-1.0145325,-0.9044431999999999,NA,1.0259375197358804
log_lik[561],-1.57655822,NA,0.11030017308316957,-1.80262575,-1.6492475,-1.573305,-1.5012275000000002,-1.3669410000000002,NA,1.044304844687721
log_lik[562],-0.53877386575,NA,0.015639117691297905,-0.5721092499999999,-0.5482775,-0.5377529999999999,-0.5284515000000001,-0.51045295,NA,1.0119605198793191
log_lik[563],-0.555688211,NA,0.02396499381906169,-0.6132187749999999,-0.5681685,-0.552176,-0.5396432499999999,-0.5177486250000001,NA,1.0108843912528702
log_lik[564],-1.02575699,NA,0.11475056694140665,-1.26379625,-1.0993624999999998,-1.02263,-0.94896475,-0.811673175,NA,1.0427951969897675
