parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
log_lik[34],-1.6155949946399957,0.003722244476520604,0.18744891172972175,-1.9822391363281961,-1.7411890232446021,-1.615701909548371,-1.4813681464923558,-1.2496811202897196,2536.0397621873744,1.0001458944354078
log_lik[35],-1.5895269566997448,0.0021881766800238623,0.11736632592657711,-1.8235916377433121,-1.6667167887815406,-1.5904724120524965,-1.511665913438048,-1.3590030126547599,2876.883320736137,1.0005253595640309
log_lik[36],-0.541467578679511,3.410344103237557e-4,0.022293418075507342,-0.5889755394188722,-0.5560028319719091,-0.5399185480982289,-0.5258173970489144,-0.5013485359650193,4273.236391140521,0.9993559469614544
log_lik[37],-0.568227641930082,5.263156767984923e-4,0.03309589068795,-0.6417101763342927,-0.5882331328315413,-0.5648891844195056,-0.5450295516238599,-0.5124021496264474,3954.1718023884073,0.9995129848350576
log_lik[38],-0.5309928932868636,2.846556732223903e-4,0.019012473762994187,-0.5689372444361337,-0.5435197717408506,-0.5307062208172797,-0.5182623666670187,-0.494648572562468,4461.054900056103,0.999756722737583
log_lik[39],-0.5714114998020753,5.470512143552831e-4,0.03245798356866826,-0.6435219533775146,-0.5907106404571083,-0.5680656890575545,-0.5484264955778984,-0.5180556435804446,3520.3601749740565,1.0011305821853902
log_lik[40],-1.4017087194301052,0.001979669591551996,0.1189093610540302,-1.6386906367199163,-1.4824845886246667,-1.3974559814060092,-1.320103806574416,-1.1738628808967435,3607.834993033283,0.9995593722753039
log_lik[41],-1.4691321791960832,0.0021598335576961322,0.12580849105743136,-1.7192301819683578,-1.553052532071967,-1.468477918417006,-1.3806093042995844,-1.2297238629420373,3392.9646720881415,0.999348710692026
log_lik[42],-0.56126454338726,4.97205267622986e-4,0.028874193498147755,-0.6234573709459095,-0.5794603576717384,-0.5580807552986775,-0.5409315920870623,-0.5123136780992876,3372.4714582280726,1.001046006799183
log_lik[43],-2.057932690634467,0.002663081488296922,0.14361153358052042,-2.3492246906812344,-2.1516156062448304,-2.056245589829981,-1.960603930515063,-1.783308610589007,2908.10262469472,1.000951543626164
log_lik[44],-0.539644641391841,3.752815678597264e-4,0.021902560867568834,-0.5848607527706882,-0.5537026503934317,-0.5381591478104666,-0.5248749514684585,-0.4992353948658483,3406.2406158172753,0.9998804093400174
log_lik[45],-1.3686762143960298,0.0020660510434951022,0.10738637482916145,-1.5832415607438646,-1.441372114261147,-1.3696561932771687,-1.2963632606112254,-1.156925718572796,2701.5702764886314,1.0015005977211018
log_lik[46],-0.5370815693682012,4.3701936779758186e-4,0.0227401490418795,-0.5890657876312587,-0.5506659923778492,-0.5353160296268715,-0.5211904763303687,-0.49691004792454074,2707.604608998468,1.0005059431317547
log_lik[47],-0.5331350579590158,2.940499847932377e-4,0.019767152646672795,-0.5736060707243974,-0.5460749027745857,-0.5326339056934548,-0.5194560818186719,-0.49602166403374326,4519.03712783907,0.9998429442535914
log_lik[48],-1.6344030722929797,0.0025015076498738193,0.14780004184634443,-1.9240939445295795,-1.7341368245917343,-1.6314078194805282,-1.532954217957452,-1.3521307626544607,3490.964587710302,0.9994869574823093
log_lik[49],-0.5873159422696775,6.40763273827911e-4,0.03960125643948996,-0.6764096048866712,-0.6107127203594758,-0.5830491294380098,-0.5587417765215633,-0.5228862396625051,3819.642412020457,1.0002102334307224
log_lik[50],-1.373644470192339,0.001987908963677473,0.11859555933135048,-1.60239654288804,-1.4537549595393793,-1.3734777147614396,-1.2893863315244554,-1.146595274453589,3559.130165262912,1.0002054768468989
log_lik[51],-1.4593793859441726,0.0020956943114930375,0.11901493451031897,-1.7011795673988659,-1.5362374503857161,-1.4554938556154666,-1.3771481457041348,-1.2370207473539103,3225.1287357947317,1.0002938270542427
log_lik[52],-1.842028667231026,0.0022275079873906155,0.12218419629214476,-2.0863620601642356,-1.923539994724408,-1.8413690571241186,-1.757796196049832,-1.6104122137733903,3008.787616117344,1.0008554465553545
log_lik[53],-0.5309619597881506,2.867491686730705e-4,0.019005890804762896,-0.5685960514990717,-0.5436129086901575,-0.5305352794220697,-0.5181793511391527,-0.4946615754346759,4393.110472977505,1.0002826404799547
log_lik[54],-0.5476385100548454,4.061972203492608e-4,0.023669136012476173,-0.5983589314473597,-0.5624797523623277,-0.5462512168965404,-0.5307735465525345,-0.506170270706411,3395.3997807663313,1.0009839824248978
log_lik[55],-1.5468985982705308,0.0021682963761812894,0.11476990268680869,-1.7771289834879331,-1.625599526678698,-1.547130852779402,-1.4699317571934183,-1.3185822405413075,2801.6813479576053,1.0012110347154606
log_lik[56],-1.6835636317730986,0.00229808184187489,0.12435495004802878,-1.935312058880049,-1.7674261077380626,-1.6825415138265487,-1.600587943053925,-1.4376655775742284,2928.162485751015,1.0009457104696817
log_lik[57],-1.8629264080952,0.002451606815223502,0.12234582867323245,-2.1053627436576083,-1.944462312767659,-1.860499272714842,-1.778686203120281,-1.628164823062203,2490.443501769122,0.9995278926093523
log_lik[58],-0.6041661094582174,7.384636839547234e-4,0.04431087353557722,-0.7043512851026676,-0.6306730212511891,-0.599140827631748,-0.5723368888904641,-0.5318835670176298,3600.4960466180823,1.0005006203643299
log_lik[59],-1.4850731523336365,0.0019772811924078683,0.1128128206900605,-1.7194841785580357,-1.5570380190354405,-1.482682548379727,-1.4084300663367877,-1.2770201275697304,3255.2177533653694,1.0002925685394404
log_lik[60],-1.331412120475817,0.0021490041356239773,0.10552746222217597,-1.5438956062889573,-1.4035818425434972,-1.330375660453661,-1.259736721593284,-1.1279171541748603,2411.329091533582,0.9995533763424665
log_lik[61],-1.4825553610135962,0.0035371922649028048,0.19590634226496859,-1.8851846462531876,-1.6106418388436046,-1.4757804018613094,-1.3445791749248441,-1.1220571003148523,3067.4653019541497,1.0002803488207392
log_lik[62],-0.5417232279802895,3.849695553344505e-4,0.02249745100747073,-0.5888612464119752,-0.5558514095831033,-0.5403352176265592,-0.5260393292077683,-0.5010368740507177,3415.1820455791494,0.9995494942697445
log_lik[63],-0.5502099593189531,4.764529157014966e-4,0.02821260907666176,-0.6158411855316316,-0.5664785594659363,-0.5469265589418661,-0.5306117505370129,-0.503250601391472,3506.279433846634,1.0004421453871284
log_lik[64],-0.5333057315296624,3.1316850202510173e-4,0.019964290737619867,-0.5737138398944628,-0.5465272974204232,-0.5326724716159819,-0.519452704849521,-0.4961616776333674,4063.980558978692,1.000694605147854
log_lik[65],-0.5338385779685842,2.980854016618124e-4,0.020009946044980173,-0.5750102388397005,-0.5471313894155145,-0.5333116518329314,-0.5200104209739368,-0.4962053871867925,4506.199552349983,0.9998154118592331
log_lik[66],-0.5465371832493928,3.99637744149641e-4,0.024922474796279494,-0.6016728825137329,-0.5615145806155348,-0.5441752019800197,-0.5293949158199021,-0.503676271179734,3889.101997299884,0.9998365586739503
log_lik[67],-1.3614891401173574,0.0028580413367499625,0.16735463167896422,-1.7004798054116383,-1.4685228196417812,-1.3594889910567738,-1.2457334185283164,-1.0495287998287486,3428.7708456403716,1.0005453975946563
log_lik[68],-1.6726075880123492,0.004114203829134899,0.15984480841365026,-1.992384143696763,-1.7794615704942613,-1.670886413272923,-1.5616819012024354,-1.375531143550347,1509.4733946768652,1.000555944927743
log_lik[69],-1.9191237109948691,0.0023710888851760244,0.12771289681644926,-2.1796477165495265,-2.001743494603229,-1.915167692735972,-1.8286931812471718,-1.6805235220865553,2901.1744371699965,1.0008424362791148
log_lik[70],-2.072620309419477,0.004194679779971772,0.21869354398456753,-2.5066469953211676,-2.217413404470829,-2.0707046327379803,-1.9211020739595304,-1.6579328777762066,2718.1555102653338,1.001227097519945
log_lik[71],-1.226085668478852,0.0020464740633902357,0.11299711080371001,-1.4551808872216077,-1.3030384603283331,-1.2235753629068797,-1.1479685439548493,-1.0123747113559183,3048.752635854813,0.9994338236230409
log_lik[72],-1.7447686791820256,0.0022000874000193188,0.12917826812322172,-1.9936537107472894,-1.8353056884323002,-1.740126922538706,-1.6527245221296132,-1.5011170955397257,3447.4585070339112,0.9998654784060282
